Year,Konpetentzia,Sexua,Units,Value
2015,SKILL_READ,,%,82.6
2012,SKILL_READ,,%,85.6
2018,SKILL_READ,,%,77.0
2022,SKILL_READ,,%,74.2
2022,SKILL_READ,Emakumea,%,80.1
2015,SKILL_READ,Emakumea,%,86.6
2012,SKILL_READ,Emakumea,%,90.1
2018,SKILL_READ,Emakumea,%,83.6
2022,SKILL_READ,Gizona,%,68.3
2015,SKILL_READ,Gizona,%,78.4
2018,SKILL_READ,Gizona,%,70.2
2012,SKILL_READ,Gizona,%,81.1
2015,SKILL_MATH,,%,80.5
2012,SKILL_MATH,,%,84.5
2018,SKILL_MATH,,%,81.9
2022,SKILL_MATH,,%,77.3
2018,SKILL_MATH,Emakumea,%,83.4
2022,SKILL_MATH,Emakumea,%,78.0
2012,SKILL_MATH,Emakumea,%,83.4
2015,SKILL_MATH,Emakumea,%,79.9
2018,SKILL_MATH,Gizona,%,80.3
2015,SKILL_MATH,Gizona,%,81.1
2012,SKILL_MATH,Gizona,%,85.6
2022,SKILL_MATH,Gizona,%,76.7
